#{"t_start": 1758042302.9097269, "env_id": "None"}
r,l,t
-139.153529,99,0.018773
-94.240603,64,0.066122
-104.599855,103,0.143757
-107.351577,73,0.197919
-228.854411,84,0.264602
-278.479442,78,0.327835
-91.12499,131,0.430092
-103.234723,67,0.483999
-130.776238,82,0.551255
-224.410281,90,0.623779
-138.239897,119,0.722618
-406.236998,93,0.798606
-274.440788,124,0.901464
-117.617124,89,0.971352
-250.698912,116,1.067382
-186.178784,96,1.146412
-256.421248,68,1.201721
-281.063372,151,1.329354
-84.588375,134,1.447032
-174.850494,95,1.523221
-289.442586,94,1.604621
-160.858173,122,1.708466
24.278985,85,1.781389
-204.254764,145,1.90778
-112.038028,105,1.999741
-181.146817,121,2.103168
-76.430529,117,2.205499
-254.068857,161,2.347208
-174.223271,121,2.451685
-50.190304,103,2.538785
-262.556091,88,2.617379
-132.074354,114,2.717708
-82.343815,126,2.832701
-63.19062,127,2.95012
-36.439372,190,3.124073
-174.704518,198,3.307904
-35.101835,95,3.38984
-115.5467,108,3.494041
-99.463034,194,3.68287
-49.40191,154,3.828719
-53.409013,121,3.952848
-250.002464,187,4.129042
3.266507,188,4.303966
-38.304345,123,4.429829
-49.90189,187,4.6189
-229.528732,111,4.731867
-175.60659,414,5.150268
-258.852621,222,5.377476
-43.129899,507,5.918676
-276.17948,366,6.305738
-216.893672,177,6.498326
-67.478139,170,6.683831
-27.066019,159,6.851639
-174.644128,887,7.826296
179.35557,1010,8.991176
-215.595986,282,9.311408
-50.133504,438,9.998116
-361.495738,1723,10.986795
203.801047,551,11.307069
162.668476,619,11.662531
-50.496967,382,11.878642
-265.824033,257,12.185993
-9.489278,304,12.546634
-456.510851,1695,14.560496
-104.096141,483,15.142058
148.546024,681,15.965131
-10.614868,317,16.346985
222.606708,468,16.921963
-151.49831,614,17.65206
-46.848258,360,18.08235
221.729039,478,18.654602
-307.947702,830,19.63529
254.250862,616,20.389971
-42.18737,327,20.784662
-55.133765,330,21.193918
-10.792599,242,21.485902
-191.258208,327,21.878772
-36.641971,331,22.278757
241.932759,394,22.754405
-186.908877,347,23.172719
-80.647463,372,23.616803
93.71053,932,24.414916
-62.311446,502,24.69956
-95.613685,437,24.947772
1.105397,330,25.13322
-65.482945,329,25.319678
-39.895493,250,25.620144
-14.041822,292,25.974782
-32.922981,260,26.285254
222.17381,538,26.925416
-29.804642,321,27.322019
-159.239482,244,27.613075
-21.635415,269,27.933522
-147.552186,310,28.303285
195.719284,459,28.846498
11.679352,412,29.337651
-50.711498,270,29.670318
-188.71026,264,29.986914
247.506912,370,30.431058
-228.458534,391,30.898625
-226.696293,334,31.290887
-174.902983,330,31.682205
-239.433503,399,32.145447
-159.51654,268,32.464087
-69.126844,263,32.767898
-61.542643,287,33.104203
246.428044,417,33.596191
-50.236632,259,33.901136
278.572009,417,34.392001
-25.236001,316,34.76359
240.794594,409,35.25151
-211.258062,299,35.60015
203.811561,520,36.213372
-183.973678,320,36.588032
-23.922287,246,36.898003
-163.285157,246,37.190778
191.551602,463,37.481873
-202.298738,301,37.67382
-167.043896,329,37.856554
-82.726374,475,38.122767
-191.136511,363,38.324905
-184.55325,213,38.58653
-17.657589,246,38.880805
4.266966,371,39.324058
-207.317379,238,39.604172
21.071959,289,39.949169
-5.62898,252,40.249934
-14.397785,316,40.627344
-246.306331,483,41.206793
-188.738773,321,41.589367
271.915388,512,42.196052
-73.567561,303,42.562264
-185.565504,293,42.914059
-98.4929,307,43.283605
276.297345,683,44.108102
205.884612,852,45.131408
-11.518463,253,45.426647
252.269267,429,45.935628
-9.006195,297,46.277637
27.598513,267,46.594886
-81.289021,329,46.985125
-36.449671,257,47.29498
-73.683798,388,47.747181
15.311676,234,48.023549
-61.941598,275,48.344514
40.791534,272,48.671907
-187.863105,234,48.956664
-186.5417,349,49.367316
-56.313765,260,49.674736
-147.131517,283,50.019138
233.79285,381,50.466137
-152.268194,223,50.592062
-254.76018,342,50.791429
-190.334255,314,50.978742
-189.03175,324,51.181591
-16.374608,269,51.513072
-237.582931,229,51.784238
-9.830654,181,51.996058
-26.771331,137,52.156931
-207.865266,351,52.572062
-55.782324,297,52.932753
-197.256584,253,53.236854
-226.798844,240,53.528278
-25.555536,246,53.819221
-66.526267,348,54.22052
235.826898,348,54.6319
-22.761421,283,54.966464
-178.165096,248,55.258446
48.503474,290,55.596316
-197.167342,275,55.921584
-47.223318,244,56.20896
234.009649,362,56.650102
222.112243,477,57.214121
-183.012641,215,57.473825
-256.071896,263,57.781893
-10.272491,251,58.07997
-208.247899,365,58.514938
-35.282476,122,58.658006
-198.272652,241,58.945376
234.453233,401,59.418557
225.32268,383,59.874555
-174.967359,319,60.258937
-16.070957,231,60.532216
-187.565594,232,60.804155
-235.25487,278,61.134975
-58.467612,254,61.445316
230.543243,340,61.845925
-189.18038,278,62.181429
-207.330226,282,62.528888
-25.200533,239,62.823338
-208.919396,225,63.096031
-49.069201,255,63.240983
-226.858387,313,63.420953
214.437755,351,63.623643
-58.965697,350,63.823219
-0.030923,259,63.976565
-28.33088,214,64.235426
-26.400382,226,64.499571
228.421888,524,65.117124
-42.483375,239,65.393985
-170.472036,243,65.683915
-215.87221,229,65.955716
-215.490028,309,66.323278
-188.483574,221,66.593627
-21.75569,247,66.886407
-40.528432,249,67.205155
-57.489804,234,67.48986
-122.137044,292,67.845189
-215.736302,271,68.171656
13.768486,249,68.469543
-223.053664,233,68.748611
-148.960571,232,69.028748
5.202601,185,69.251406
-207.242335,238,69.534142
-228.862423,361,69.967428
-36.686796,181,70.194249
257.416721,652,70.989101
-216.682982,336,71.390664
-34.693239,261,71.694515
-7.097837,180,71.906543
-247.724051,360,72.321803
-17.217973,254,72.616937
-160.269124,232,72.894541
247.116642,356,73.321166
-144.595901,182,73.541965
-64.083453,285,73.886831
-213.925956,215,74.150014
-213.446221,370,74.58715
-32.836574,242,74.867134
-204.003218,337,75.258972
-34.24906,331,75.646603
-168.541883,206,76.027654
-144.347263,162,76.122489
-149.115979,254,76.27047
-5.722408,258,76.416567
-243.063666,204,76.534024
-293.680888,365,76.969849
1.755334,245,77.268899
-196.490427,203,77.515816
-198.829198,259,77.819144
-0.345052,294,78.167937
-219.902696,282,78.501553
-189.010041,278,78.822341
-29.452465,187,79.042866
-250.618444,216,79.299532
55.460703,191,79.524828
23.684917,252,79.82585
-237.702784,213,80.078005
-27.881506,227,80.349797
-4.49853,291,80.700615
-147.488957,218,80.968456
-48.441133,242,81.256498
-186.788091,230,81.532193
-164.87588,180,81.750334
-87.774679,224,82.025863
269.785446,319,82.41348
-198.49654,247,82.70991
265.134617,361,83.137048
-87.310504,274,83.465975
-22.760045,152,83.647377
-207.342454,213,83.901548
-95.700549,215,84.167957
-187.176565,147,84.343525
-67.550517,267,84.654491
-206.361713,366,85.089787
-39.927223,305,85.449956
-49.368367,270,85.776364
-81.118223,302,86.139432
-232.213095,274,86.478932
-49.383525,246,86.768278
-71.346831,228,87.03947
-61.458162,292,87.391521
-107.763447,180,87.603121
-86.681481,214,87.857844
-177.543073,257,88.160838
-12.99936,230,88.429507
-41.488737,267,88.630475
31.966536,271,88.781814
-160.822134,190,88.889505
-199.515021,407,89.11685
-237.292913,371,89.327831
246.842324,709,90.175851
-84.001833,215,90.428334
-252.888939,327,90.810339
230.143095,406,91.295422
-50.914401,183,91.511841
-14.816156,193,91.744402
-30.862183,187,91.970665
-50.455967,263,92.281304
-27.707101,178,92.493514
-55.178925,256,92.795897
248.069307,274,93.122931
-132.535366,155,93.305423
-24.901919,347,93.716915
-131.981696,167,93.914386
-104.357749,225,94.182929
-167.882753,285,94.5296
-101.570899,178,94.74119
35.425167,179,94.955651
5.938718,192,95.186255
-23.712882,191,95.425714
-222.03192,257,95.744039
-6.099167,182,95.966988
-213.529326,253,96.276617
-82.740345,173,96.484968
-18.976577,219,96.757031
-57.82393,247,97.055988
-26.590998,220,97.322073
-227.317655,231,97.588597
-228.261961,266,97.897217
-157.56848,181,98.105626
-220.132865,209,98.351527
308.147773,291,98.710096
240.650245,309,99.085951
-46.976579,237,99.36812
